id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,ComplexApp,ServiceA,M.A,0,4,1,2,Sensor,1.0,11.14529106410951,12.14529106410951,0.1442910641095092,11.14529106410951
1,COMP_M,ComplexApp,ServiceD,M.E,4,10,2,2,ServiceA,1.0,12.14529106410951,13.14529106410951,12.14529106410951,12.14529106410951
1,COMP_M,ComplexApp,ServiceE,M.F,10,12,2,0,ServiceD,0.04,14.14729106410951,14.187291064109509,13.14529106410951,14.14729106410951
2,COMP_M,ComplexApp,ServiceA,M.A,0,4,1,2,Sensor,1.0,21.145791064109513,22.145791064109513,0.2885821282190184,21.145791064109513
2,COMP_M,ComplexApp,ServiceD,M.E,4,10,2,2,ServiceA,1.0,22.145791064109513,23.145791064109513,22.145791064109513,22.145791064109513
1,COMP_M,ComplexApp,ServiceB,M.B,4,6,2,1,ServiceA,2.0,23.14729106410951,25.14729106410951,12.14529106410951,23.14729106410951
2,COMP_M,ComplexApp,ServiceE,M.F,10,12,2,0,ServiceD,0.04,24.147791064109516,24.187791064109515,23.145791064109513,24.147791064109516
1,COMP_M,ComplexApp,ServiceF,M.G,12,14,0,6,ServiceE,0.09375,29.188574397442846,29.282324397442846,14.187291064109509,29.188574397442846
3,COMP_M,ComplexApp,ServiceA,M.A,0,4,1,2,Sensor,1.0,31.146291064109516,32.14629106410952,0.4328731923285276,31.146291064109516
3,COMP_M,ComplexApp,ServiceD,M.E,4,10,2,2,ServiceA,1.0,32.14629106410952,33.14629106410952,32.14629106410952,32.14629106410952
2,COMP_M,ComplexApp,ServiceB,M.B,4,6,2,1,ServiceA,2.0,33.14829106410951,35.14829106410951,22.145791064109513,33.14829106410951
3,COMP_M,ComplexApp,ServiceE,M.F,10,12,2,0,ServiceD,0.04,34.148291064109515,34.188291064109514,33.14629106410952,34.148291064109515
2,COMP_M,ComplexApp,ServiceF,M.G,12,14,0,6,ServiceE,0.09375,39.18907439744285,39.28282439744285,24.187791064109515,39.18907439744285
4,COMP_M,ComplexApp,ServiceA,M.A,0,4,1,2,Sensor,1.0,41.14679106410952,42.14679106410952,0.5771642564380368,41.14679106410952
4,COMP_M,ComplexApp,ServiceD,M.E,4,10,2,2,ServiceA,1.0,42.14679106410952,43.14679106410952,42.14679106410952,42.14679106410952
3,COMP_M,ComplexApp,ServiceB,M.B,4,6,2,1,ServiceA,2.0,43.149291064109505,45.149291064109505,32.14629106410952,43.149291064109505
4,COMP_M,ComplexApp,ServiceE,M.F,10,12,2,0,ServiceD,0.04,44.14879106410952,44.188791064109516,43.14679106410952,44.14879106410952
1,SINK_M,ComplexApp,Actuator,M.H,14,1,6,2,ServiceF,0,45.28374106410951,45.28374106410951,29.282324397442846,45.28374106410951
3,COMP_M,ComplexApp,ServiceF,M.G,12,14,0,6,ServiceE,0.09375,49.18957439744285,49.28332439744285,34.188291064109514,49.18957439744285
5,COMP_M,ComplexApp,ServiceA,M.A,0,4,1,2,Sensor,1.0,51.147291064109524,52.147291064109524,0.721455320547546,51.147291064109524
5,COMP_M,ComplexApp,ServiceD,M.E,4,10,2,2,ServiceA,1.0,52.147291064109524,53.147291064109524,52.147291064109524,52.147291064109524
4,COMP_M,ComplexApp,ServiceB,M.B,4,6,2,1,ServiceA,2.0,53.1502910641095,55.1502910641095,42.14679106410952,53.1502910641095
5,COMP_M,ComplexApp,ServiceE,M.F,10,12,2,0,ServiceD,0.04,54.14929106410952,54.18929106410952,53.147291064109524,54.14929106410952
2,SINK_M,ComplexApp,Actuator,M.H,14,1,6,2,ServiceF,0,55.284241064109516,55.284241064109516,39.28282439744285,55.284241064109516
4,COMP_M,ComplexApp,ServiceF,M.G,12,14,0,6,ServiceE,0.09375,59.19007439744285,59.28382439744285,44.188791064109516,59.19007439744285
6,COMP_M,ComplexApp,ServiceA,M.A,0,4,1,2,Sensor,1.0,61.147791064109526,62.147791064109526,0.8657463846570552,61.147791064109526
6,COMP_M,ComplexApp,ServiceD,M.E,4,10,2,2,ServiceA,1.0,62.147791064109526,63.147791064109526,62.147791064109526,62.147791064109526
5,COMP_M,ComplexApp,ServiceB,M.B,4,6,2,1,ServiceA,2.0,63.1512910641095,65.1512910641095,52.147291064109524,63.1512910641095
6,COMP_M,ComplexApp,ServiceE,M.F,10,12,2,0,ServiceD,0.04,64.14979106410952,64.18979106410953,63.147791064109526,64.14979106410952
3,SINK_M,ComplexApp,Actuator,M.H,14,1,6,2,ServiceF,0,65.28474106410951,65.28474106410951,49.28332439744285,65.28474106410951
5,COMP_M,ComplexApp,ServiceF,M.G,12,14,0,6,ServiceE,0.09375,69.19057439744284,69.28432439744284,54.18929106410952,69.19057439744284
7,COMP_M,ComplexApp,ServiceA,M.A,0,4,1,2,Sensor,1.0,71.14829106410953,72.14829106410953,1.0100374487665644,71.14829106410953
7,COMP_M,ComplexApp,ServiceD,M.E,4,10,2,2,ServiceA,1.0,72.14829106410953,73.14829106410953,72.14829106410953,72.14829106410953
6,COMP_M,ComplexApp,ServiceB,M.B,4,6,2,1,ServiceA,2.0,73.1522910641095,75.1522910641095,62.147791064109526,73.1522910641095
7,COMP_M,ComplexApp,ServiceE,M.F,10,12,2,0,ServiceD,0.04,74.15029106410954,74.19029106410954,73.14829106410953,74.15029106410954
4,SINK_M,ComplexApp,Actuator,M.H,14,1,6,2,ServiceF,0,75.28524106410951,75.28524106410951,59.28382439744285,75.28524106410951
6,COMP_M,ComplexApp,ServiceF,M.G,12,14,0,6,ServiceE,0.09375,79.19107439744286,79.28482439744286,64.18979106410953,79.19107439744286
8,COMP_M,ComplexApp,ServiceA,M.A,0,4,1,2,Sensor,1.0,81.14879106410953,82.14879106410953,1.1543285128760736,81.14879106410953
8,COMP_M,ComplexApp,ServiceD,M.E,4,10,2,2,ServiceA,1.0,82.14879106410953,83.14879106410953,82.14879106410953,82.14879106410953
7,COMP_M,ComplexApp,ServiceB,M.B,4,6,2,1,ServiceA,2.0,83.15329106410951,85.15329106410951,72.14829106410953,83.15329106410951
8,COMP_M,ComplexApp,ServiceE,M.F,10,12,2,0,ServiceD,0.04,84.15079106410954,84.19079106410955,83.14879106410953,84.15079106410954
5,SINK_M,ComplexApp,Actuator,M.H,14,1,6,2,ServiceF,0,85.2857410641095,85.2857410641095,69.28432439744284,85.2857410641095
7,COMP_M,ComplexApp,ServiceF,M.G,12,14,0,6,ServiceE,0.09375,89.19157439744288,89.28532439744288,74.19029106410954,89.19157439744288
9,COMP_M,ComplexApp,ServiceA,M.A,0,4,1,2,Sensor,1.0,91.14929106410953,92.14929106410953,1.2986195769855828,91.14929106410953
9,COMP_M,ComplexApp,ServiceD,M.E,4,10,2,2,ServiceA,1.0,92.14929106410953,93.14929106410953,92.14929106410953,92.14929106410953
8,COMP_M,ComplexApp,ServiceB,M.B,4,6,2,1,ServiceA,2.0,93.15429106410951,95.15429106410951,82.14879106410953,93.15429106410951
9,COMP_M,ComplexApp,ServiceE,M.F,10,12,2,0,ServiceD,0.04,94.15129106410954,94.19129106410955,93.14929106410953,94.15129106410954
6,SINK_M,ComplexApp,Actuator,M.H,14,1,6,2,ServiceF,0,95.28624106410952,95.28624106410952,79.28482439744286,95.28624106410952
8,COMP_M,ComplexApp,ServiceF,M.G,12,14,0,6,ServiceE,0.09375,99.19207439744288,99.28582439744288,84.19079106410955,99.19207439744288
-1,COMP_M,ComplexApp,ServiceD,M.E,4,10,2,2,ServiceA,1.0,100,101.0,100.0,100.0
10,COMP_M,ComplexApp,ServiceA,M.A,0,4,1,2,Sensor,1.0,101.14979106410954,102.14979106410954,1.442910641095092,101.14979106410954
-1,COMP_M,ComplexApp,ServiceE,M.F,10,12,2,0,ServiceD,0.04,102.00200000000001,102.04200000000002,100.0,102.00200000000001
10,COMP_M,ComplexApp,ServiceD,M.E,4,10,2,2,ServiceA,1.0,102.14979106410954,103.14979106410954,102.14979106410954,102.14979106410954
-1,COMP_M,ComplexApp,ServiceE,M.F,10,12,2,0,ServiceD,0.04,103.00300000000001,103.04300000000002,101.0,103.00300000000001
